Date,MoonPhase,Season,Month,PoyaName
2026-01-02,FullMoon,Hemanta,Phussa,Māgha
2026-01-17,NewMoon,Hemanta,Magha,Māgha
2026-02-01,FullMoon,Hemanta,Magha,Phagguna
2026-02-15,NewMoon,Hemanta,Phagguna,Phagguna
2026-03-02,FullMoon,Hemanta,Phagguna,Citta
2026-03-17,NewMoon,Gimhana,Citta,Citta
2026-04-01,FullMoon,Gimhana,Citta,Citta
2026-04-15,NewMoon,Gimhana,Adhivesakha,Adhivesākha
2026-04-30,FullMoon,Gimhana,Adhivesakha,Adhivesākha
2026-05-15,NewMoon,Gimhana,Vesakha,Vesākha
2026-05-30,FullMoon,Gimhana,Vesakha,Vesākha
2026-06-14,NewMoon,Gimhana,Jettha,Jeṭṭha
2026-06-29,FullMoon,Gimhana,Jettha,Jeṭṭha
2026-07-14,NewMoon,Gimhana,Asalha,Āsāḷha
2026-07-29,FullMoon,Gimhana,Asalha,Āsāḷha
2026-08-13,NewMoon,Vassana,Savana,Sāvana
2026-08-28,FullMoon,Vassana,Savana,Sāvana
2026-09-11,NewMoon,Vassana,Potthapada,Poṭṭhapāda
2026-09-26,FullMoon,Vassana,Potthapada,Poṭṭhapāda
2026-10-11,NewMoon,Vassana,Assayuja,Assayuja
2026-10-26,FullMoon,Vassana,Assayuja,Assayuja
2026-11-09,NewMoon,Vassana,Kattika,Kattika
2026-11-24,FullMoon,Vassana,Kattika,Kattika
2026-12-09,NewMoon,Hemanta,Maghasira,Māghasira
2026-12-24,FullMoon,Hemanta,Maghasira,Māghasira
2027-01-07,NewMoon,Hemanta,Phussa,Phussa
2027-01-22,FullMoon,Hemanta,Phussa,Phussa
2027-02-06,NewMoon,Hemanta,Magha,Phussa
2027-02-21,FullMoon,Hemanta,Magha,Phussa
2027-03-07,NewMoon,Hemanta,Phagguna,Phussa
2027-03-22,FullMoon,Hemanta,Phagguna,Phussa
2027-04-06,NewMoon,Gimhana,Citta,Phussa
2027-04-21,FullMoon,Gimhana,Citta,Phussa
2027-05-05,NewMoon,Gimhana,Vesakha,Phussa
2027-05-20,FullMoon,Gimhana,Vesakha,Phussa
2027-06-04,NewMoon,Gimhana,Jettha,Phussa
2027-06-19,FullMoon,Gimhana,Jettha,Phussa
2027-07-03,NewMoon,Gimhana,Asalha,Phussa
2027-07-18,FullMoon,Gimhana,Asalha,Phussa
2027-08-02,NewMoon,Vassana,Savana,Phussa
2027-08-17,FullMoon,Vassana,Savana,Phussa
2027-08-31,NewMoon,Vassana,Potthapada,Phussa
2027-09-15,FullMoon,Vassana,Potthapada,Phussa
2027-09-30,NewMoon,Vassana,Assayuja,Phussa
2027-10-15,FullMoon,Vassana,Assayuja,Phussa
2027-10-29,NewMoon,Vassana,Kattika,Phussa
2027-11-13,FullMoon,Vassana,Kattika,Phussa
2027-11-28,NewMoon,Hemanta,Maghasira,Phussa
2027-12-13,FullMoon,Hemanta,Maghasira,Phussa
2027-12-27,NewMoon,Hemanta,Phussa,Phussa
2028-01-11,FullMoon,Hemanta,Phussa,Phussa
2028-01-26,NewMoon,Hemanta,Magha,Māgha
2028-02-10,FullMoon,Hemanta,Magha,Māgha
2028-02-24,NewMoon,Hemanta,Phagguna,Phagguna
2028-03-10,FullMoon,Hemanta,Phagguna,Phagguna
2028-03-25,NewMoon,Gimhana,Citta,Citta
2028-04-09,FullMoon,Gimhana,Citta,Citta
2028-04-23,NewMoon,Gimhana,Vesakha,Vesākha
2028-05-08,FullMoon,Gimhana,Vesakha,Vesākha
2028-05-23,NewMoon,Gimhana,Jettha,Jeṭṭha
2028-06-07,FullMoon,Gimhana,Jettha,Jeṭṭha
2028-06-21,NewMoon,Gimhana,Asalha,Āsāḷha
2028-07-06,FullMoon,Gimhana,Asalha,Āsāḷha
2028-07-21,NewMoon,Vassana,Savana,Sāvana
2028-08-05,FullMoon,Vassana,Savana,Sāvana
2028-08-19,NewMoon,Vassana,Potthapada,Poṭṭhapāda
2028-09-03,FullMoon,Vassana,Potthapada,Poṭṭhapāda
2028-09-18,NewMoon,Vassana,Assayuja,Assayuja
2028-10-03,FullMoon,Vassana,Assayuja,Assayuja
2028-10-17,NewMoon,Vassana,Kattika,Kattika
2028-11-01,FullMoon,Vassana,Kattika,Kattika
2028-11-16,NewMoon,Hemanta,Maghasira,Māghasira
2028-12-01,FullMoon,Hemanta,Maghasira,Māghasira
2028-12-15,NewMoon,Hemanta,Phussa,Phussa
2028-12-30,FullMoon,Hemanta,Phussa,Phussa
2029-01-14,NewMoon,Hemanta,Magha,Māgha
2029-01-29,FullMoon,Hemanta,Magha,Phagguna
2029-02-12,NewMoon,Hemanta,Phagguna,Phagguna
2029-02-27,FullMoon,Hemanta,Phagguna,Citta
2029-03-14,NewMoon,Gimhana,Citta,Citta
2029-03-29,FullMoon,Gimhana,Citta,Citta
2029-04-12,NewMoon,Gimhana,Adhivesakha,Adhivesākha
2029-04-27,FullMoon,Gimhana,Adhivesakha,Adhivesākha
2029-05-12,NewMoon,Gimhana,Vesakha,Vesākha
2029-05-27,FullMoon,Gimhana,Vesakha,Vesākha
2029-06-10,NewMoon,Gimhana,Jettha,Jeṭṭha
2029-06-25,FullMoon,Gimhana,Jettha,Jeṭṭha
2029-07-10,NewMoon,Gimhana,Asalha,Āsāḷha
2029-07-25,FullMoon,Gimhana,Asalha,Āsāḷha
2029-08-09,NewMoon,Vassana,Savana,Sāvana
2029-08-24,FullMoon,Vassana,Savana,Sāvana
2029-09-07,NewMoon,Vassana,Potthapada,Poṭṭhapāda
2029-09-22,FullMoon,Vassana,Potthapada,Poṭṭhapāda
2029-10-07,NewMoon,Vassana,Assayuja,Assayuja
2029-10-22,FullMoon,Vassana,Assayuja,Assayuja
2029-11-05,NewMoon,Vassana,Kattika,Kattika
2029-11-20,FullMoon,Vassana,Kattika,Kattika
2029-12-05,NewMoon,Hemanta,Maghasira,Māghasira
2029-12-20,FullMoon,Hemanta,Maghasira,Māghasira
2030-01-03,NewMoon,Hemanta,Phussa,Māgha
2030-01-18,FullMoon,Hemanta,Phussa,Māgha
2030-02-02,NewMoon,Hemanta,Magha,Phagguna
2030-02-17,FullMoon,Hemanta,Magha,Phagguna
2030-03-03,NewMoon,Hemanta,Phagguna,Citta
2030-03-18,FullMoon,Hemanta,Phagguna,Citta
2030-04-02,NewMoon,Gimhana,Citta,Vesākha
2030-04-17,FullMoon,Gimhana,Citta,Vesākha
2030-05-01,NewMoon,Gimhana,Vesakha,Jeṭṭha
2030-05-16,FullMoon,Gimhana,Vesakha,Jeṭṭha
2030-05-31,NewMoon,Gimhana,Jettha,Āsāḷha
2030-06-15,FullMoon,Gimhana,Jettha,Āsāḷha
2030-06-29,NewMoon,Gimhana,Asalha,Sāvana
2030-07-14,FullMoon,Gimhana,Asalha,Sāvana
2030-07-29,NewMoon,Vassana,Savana,Poṭṭhapāda
2030-08-13,FullMoon,Vassana,Savana,Poṭṭhapāda
2030-08-27,NewMoon,Vassana,Potthapada,Assayuja
2030-09-11,FullMoon,Vassana,Potthapada,Assayuja
2030-09-26,NewMoon,Vassana,Assayuja,Kattika
2030-10-11,FullMoon,Vassana,Assayuja,Kattika
2030-10-25,NewMoon,Vassana,Kattika,Māghasira
2030-11-09,FullMoon,Vassana,Kattika,Māghasira
2030-11-24,NewMoon,Hemanta,Maghasira,Phussa
2030-12-09,FullMoon,Hemanta,Maghasira,Phussa
2030-12-23,NewMoon,Hemanta,Phussa,Phussa
2031-01-07,FullMoon,Hemanta,Phussa,Māgha
2031-01-22,NewMoon,Hemanta,Magha,Māgha
2031-02-06,FullMoon,Hemanta,Magha,Phagguna
2031-02-20,NewMoon,Hemanta,Phagguna,Phagguna
2031-03-07,FullMoon,Hemanta,Phagguna,Citta
2031-03-22,NewMoon,Gimhana,Citta,Citta
2031-04-06,FullMoon,Gimhana,Citta,Vesākha
2031-04-20,NewMoon,Gimhana,Adhivesakha,Vesākha
2031-05-05,FullMoon,Gimhana,Adhivesakha,Jeṭṭha
2031-05-20,NewMoon,Gimhana,Vesakha,Jeṭṭha
2031-06-04,FullMoon,Gimhana,Vesakha,Āsāḷha
2031-06-19,NewMoon,Gimhana,Jettha,Āsāḷha
2031-07-04,FullMoon,Gimhana,Jettha,Sāvana
2031-07-19,NewMoon,Gimhana,Asalha,Sāvana
2031-08-03,FullMoon,Gimhana,Asalha,Poṭṭhapāda
2031-08-18,NewMoon,Vassana,Savana,Poṭṭhapāda
2031-09-02,FullMoon,Vassana,Savana,Assayuja
2031-09-16,NewMoon,Vassana,Potthapada,Assayuja
2031-10-01,FullMoon,Vassana,Potthapada,Kattika
2031-10-16,NewMoon,Vassana,Assayuja,Kattika
2031-10-31,FullMoon,Vassana,Assayuja,Māghasira
2031-11-14,NewMoon,Vassana,Kattika,Māghasira
2031-11-29,FullMoon,Vassana,Kattika,Phussa
2031-12-14,NewMoon,Hemanta,Maghasira,Phussa
2031-12-29,FullMoon,Hemanta,Maghasira,Phussa
2032-01-12,NewMoon,Hemanta,Phussa,Māgha
2032-01-27,FullMoon,Hemanta,Phussa,Phagguna
2032-02-11,NewMoon,Hemanta,Magha,Phagguna
2032-02-26,FullMoon,Hemanta,Magha,Citta
2032-03-11,NewMoon,Hemanta,Phagguna,Citta
2032-03-26,FullMoon,Hemanta,Phagguna,Citta
2032-04-10,NewMoon,Gimhana,Citta,Adhivesākha
2032-04-25,FullMoon,Gimhana,Citta,Adhivesākha
2032-05-09,NewMoon,Gimhana,Vesakha,Vesākha
2032-05-24,FullMoon,Gimhana,Vesakha,Vesākha
2032-06-08,NewMoon,Gimhana,Jettha,Jeṭṭha
2032-06-23,FullMoon,Gimhana,Jettha,Jeṭṭha
2032-07-07,NewMoon,Gimhana,Asalha,Āsāḷha
2032-07-22,FullMoon,Gimhana,Asalha,Āsāḷha
2032-08-06,NewMoon,Vassana,Savana,Sāvana
2032-08-21,FullMoon,Vassana,Savana,Sāvana
2032-09-04,NewMoon,Vassana,Potthapada,Poṭṭhapāda
2032-09-19,FullMoon,Vassana,Potthapada,Poṭṭhapāda
2032-10-04,NewMoon,Vassana,Assayuja,Assayuja
2032-10-19,FullMoon,Vassana,Assayuja,Assayuja
2032-11-02,NewMoon,Vassana,Kattika,Kattika
2032-11-17,FullMoon,Vassana,Kattika,Kattika
2032-12-02,NewMoon,Hemanta,Maghasira,Māghasira
2032-12-17,FullMoon,Hemanta,Maghasira,Māghasira
2032-12-31,NewMoon,Hemanta,Phussa,Māghasira
2033-01-15,FullMoon,Hemanta,Phussa,Māgha
2033-01-30,NewMoon,Hemanta,Magha,Māgha
2033-02-14,FullMoon,Hemanta,Magha,Phagguna
2033-02-28,NewMoon,Hemanta,Phagguna,Phagguna
2033-03-15,FullMoon,Hemanta,Phagguna,Citta
2033-03-30,NewMoon,Gimhana,Citta,Citta
2033-04-14,FullMoon,Gimhana,Citta,Vesākha
2033-04-28,NewMoon,Gimhana,Vesakha,Vesākha
2033-05-13,FullMoon,Gimhana,Vesakha,Jeṭṭha
2033-05-28,NewMoon,Gimhana,Jettha,Jeṭṭha
2033-06-12,FullMoon,Gimhana,Jettha,Āsāḷha
2033-06-26,NewMoon,Gimhana,Asalha,Āsāḷha
2033-07-11,FullMoon,Gimhana,Asalha,Sāvana
2033-07-26,NewMoon,Vassana,Savana,Sāvana
2033-08-10,FullMoon,Vassana,Savana,Poṭṭhapāda
2033-08-24,NewMoon,Vassana,Potthapada,Poṭṭhapāda
2033-09-08,FullMoon,Vassana,Potthapada,Assayuja
2033-09-23,NewMoon,Vassana,Assayuja,Assayuja
2033-10-08,FullMoon,Vassana,Assayuja,Kattika
2033-10-22,NewMoon,Vassana,Kattika,Kattika
2033-11-06,FullMoon,Vassana,Kattika,Māghasira
2033-11-21,NewMoon,Hemanta,Maghasira,Māghasira
2033-12-06,FullMoon,Hemanta,Maghasira,Phussa
2033-12-20,NewMoon,Hemanta,Phussa,Phussa
2034-01-04,FullMoon,Hemanta,Phussa,Phussa
2034-01-19,NewMoon,Hemanta,Magha,Māgha
2034-02-03,FullMoon,Hemanta,Magha,Phagguna
2034-02-17,NewMoon,Hemanta,Phagguna,Phagguna
2034-03-04,FullMoon,Hemanta,Phagguna,Citta
2034-03-19,NewMoon,Gimhana,Citta,Citta
2034-04-03,FullMoon,Gimhana,Citta,Vesākha
2034-04-17,NewMoon,Gimhana,Adhivesakha,Vesākha
2034-05-02,FullMoon,Gimhana,Adhivesakha,Jeṭṭha
2034-05-17,NewMoon,Gimhana,Vesakha,Jeṭṭha
2034-06-01,FullMoon,Gimhana,Vesakha,Āsāḷha
2034-06-15,NewMoon,Gimhana,Jettha,Āsāḷha
2034-06-30,FullMoon,Gimhana,Jettha,Sāvana
2034-07-15,NewMoon,Gimhana,Asalha,Sāvana
2034-07-30,FullMoon,Gimhana,Asalha,Poṭṭhapāda
2034-08-14,NewMoon,Vassana,Savana,Poṭṭhapāda
2034-08-29,FullMoon,Vassana,Savana,Assayuja
2034-09-12,NewMoon,Vassana,Potthapada,Assayuja
2034-09-27,FullMoon,Vassana,Potthapada,Kattika
2034-10-12,NewMoon,Vassana,Assayuja,Kattika
2034-10-27,FullMoon,Vassana,Assayuja,Māghasira
2034-11-10,NewMoon,Vassana,Kattika,Māghasira
2034-11-25,FullMoon,Vassana,Kattika,Phussa
2034-12-10,NewMoon,Hemanta,Maghasira,Phussa
2034-12-25,FullMoon,Hemanta,Maghasira,Phussa
2035-01-08,NewMoon,Hemanta,Phussa,Māgha
2035-01-23,FullMoon,Hemanta,Phussa,Phagguna
2035-02-07,NewMoon,Hemanta,Magha,Phagguna
2035-02-22,FullMoon,Hemanta,Magha,Citta
2035-03-08,NewMoon,Hemanta,Phagguna,Citta
2035-03-23,FullMoon,Hemanta,Phagguna,Citta
2035-04-07,NewMoon,Gimhana,Citta,Adhivesākha
2035-04-22,FullMoon,Gimhana,Citta,Adhivesākha
2035-05-06,NewMoon,Gimhana,Vesakha,Vesākha
2035-05-21,FullMoon,Gimhana,Vesakha,Vesākha
2035-06-05,NewMoon,Gimhana,Jettha,Jeṭṭha
2035-06-20,FullMoon,Gimhana,Jettha,Jeṭṭha
2035-07-04,NewMoon,Gimhana,Asalha,Āsāḷha
2035-07-19,FullMoon,Gimhana,Asalha,Āsāḷha
2035-08-03,NewMoon,Vassana,Savana,Sāvana
2035-08-18,FullMoon,Vassana,Savana,Sāvana
2035-09-01,NewMoon,Vassana,Potthapada,Poṭṭhapāda
2035-09-16,FullMoon,Vassana,Potthapada,Poṭṭhapāda
2035-10-01,NewMoon,Vassana,Assayuja,Assayuja
2035-10-16,FullMoon,Vassana,Assayuja,Assayuja
2035-10-30,NewMoon,Vassana,Kattika,Kattika
2035-11-14,FullMoon,Vassana,Kattika,Kattika
2035-11-29,NewMoon,Hemanta,Maghasira,Māghasira
2035-12-14,FullMoon,Hemanta,Maghasira,Māghasira
2035-12-28,NewMoon,Hemanta,Phussa,Māghasira